geomorph,ratio
Terr,0.00961153384058949
Vegbar,0.251959686450168
Chan,0
Const,0.367424242424242
Vegbar,0.497343686146302
Vegbar,0.497032053818757
Vegbar,0
Chan,0
Chan,0
Chan,0.56
Chan,0
Chan,0
Chan,1
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0.0476190476190476
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0.125
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0
Chan,1
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0.470588235294118
Chan,0.875
Chan,0.533333333333333
Chan,0
Chan,0.181818181818182
Chan,0
Sbar,1
Chan,0.0294117647058824
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0.714285714285714
Chan,0
Chan,0
Chan,0
Chan,0
Sbar,0
Vegbar,0.384615384615385
Chan,0.157894736842105
Chan,0.0652173913043478
Chan,0
Chan,0.181818181818182
Chan,0
Chan,0
Chan,0.1875
Chan,0.0561797752808989
Chan,0.211111111111111
Chan,0
Chan,0.136363636363636
Chan,0
Chan,0
Chan,0
Chan,0
Chan,0.5
Chan,0
Chan,0.0588235294117647
Chan,0
Chan,0
Chan,0
Chan,0.00905797101449275
Chan,0.204545454545455
Chan,0.0277777777777778
Chan,0
Chan,0
Chan,0.5
Chan,0.12962962962963
Chan,0
Chan,0
Chan,0
Chan,0.166666666666667
Chan,0
Chan,0
Sbar,0.630901287553648
Sbar,1
Sbar,0.763291139240506
Sbar,0.0284237726098191
Sbar,0.755102040816326
Sbar,0.772151898734177
Sbar,0.988095238095238
Sbar,1
Vegbar,0.510402219140083
Sbar,1
Sbar,0.34295415959253
Sbar,0.644295302013423
Sbar,0.25
Sbar,0.0574712643678161
Vegbar,0.691489361702128
Vegbar,0.691358024691358
Sbar,0.4
Sbar,0.764705882352941
Sbar,0.538116591928251
Sbar,0.586206896551724
Vegbar,0.423786739576213
Vegbar,0.0381602731472375
Sbar,0.548387096774194
Gravel,0.125
Sbar,0.582417582417582
Vegbar,0.449945394975519
Sbar,0.648648648648649
Vegbar,0.215774417654271
Sbar,0.647058823529412
Vegbar,0.341307814992026
Sbar,0.977011494252874
Vegbar,0.476396276594953
Sbar,0.849056603773585
Vegbar,0.327560114342816
Sbar,0.861111111111111
Vegbar,0.229685298262095
Sbar,0.424390243902439
Vegbar,0.395141700404858
Sbar,1
Sbar,0.594501718213058
Sbar,0.945945945945946
Sbar,1
Sbar,0
Sbar,1
Sbar,0.496644295302013
Vegbar,0.086661002548853
Sbar,1
Sbar,0.505882352941176
Sbar,0.377682403433476
Vegbar,0.304662612221257
Sbar,0.950354609929078
Vegbar,0.0254030288226673
Sbar,0.791970802919708
Vegbar,0.206245239908606
Vegbar,0.0390070921985816
Sbar,0.885496183206107
Sbar,0.830188679245283
Vegbar,0.206800386141689
Sbar,0.545582047685835
Vegbar,0.139874739040031
Vegbar,0.187335862270207
Vegbar,0.180613668061367
Sbar,0.971428571428571
Vegbar,0.307511737089202
Sbar,1
Vegbar,0.155120632695927
Sbar,0.507696951403179
Vegbar,0.245337942327613
Vegbar,0.322269161134581
Sbar,0.658823529411765
Sbar,0.680880330123796
Sbar,0.668639053254438
Sbar,0.474576271186441
Sbar,1
Sbar,0.97923875432526
Vegbar,0.702290076335878
Vegbar,0.700657894736842
Vegbar,0.169578762020974
Sbar,0.990867579908676
Vegbar,0.863868711322487
Sbar,0.578616352201258
Vegbar,0.148033347584596
Sbar,0.972602739726027
Vegbar,0.432464454976303
Sbar,0.140287769784173
Vegbar,0.144056503198102
Sbar,0.558490566037736
Vegbar,0.171540811872545
Sbar,0.179245283018868
Vegbar,0.113502935420744
Sbar,0.828947368421053
Vegbar,0.239633817985676
Sbar,0.34389353433067
Vegbar,0.244894514767864
Vegbar,0.159308692676181
Sbar,0.682142857142857
Sbar,0.516339869281046
Sbar,1
Vegbar,0.141228353232149
Vegbar,0.10071309954093
Vegbar,0.0784325456176617
Vegbar,0.26557632398741
Sbar,0.790730337078652
Sbar,0.733333333333333
Vegbar,0.361350489907757
Vegbar,0.150622406639004
Vegbar,0.159362549800797
Vegbar,0.0239121912975304
Sbar,0
Sbar,0.0276243093922652
Vegbar,0.0279126213592045
Sbar,0.785714285714286
Vegbar,0.499574323172996
Sbar,0
Vegbar,0.0747826086956522
Vegbar,0.758620689655172
Vegbar,0.202702702702703
Sbar,0
Sbar,0
Vegbar,0.20863309352518
Sbar,0.976303317535545
Vegbar,0.5
Sbar,0.796992481203007
Sbar,1
Chan,0.666666666666667
Const,0
Const,0.301378254211332
Const,0.221311475409836
Const,0.340388007054674
Const,0.0117647058823529
Const,0.0471698113207547
Const,0.163141993957704
Const,0.373972602739726
Const,0.101876675603217
Const,0.0428061831153389
Sbar,0.0240740740740741
Const,0.161904761904762
Sbar,0.811320754716981
Const,0.226254002134773
Sbar,0.276946107784431
Const,0.131195335276968
Const,0.0527950310559006
Const,0
Const,0
Const,0.213530655391121
Const,0.0146198830409357
Const,0.083991683991684
Const,0.291310541310541
Vegbar,0.404867256637168
Const,0.338829348722176
Const,0.16
Const,0
Const,0.0598555211559851
Const,0.165562913907285
Sbar,0.923076923076923
Vegbar,0.298288508557457
Const,0
Const,0.291115311909263
Const,0.281138790035587
Const,0.0398230088495575
Const,0.268656716417911
Const,0
Const,0.0922431865828092
Const,0.0562587904358079
Const,0
Const,0.218005651998385
Const,0.0963060686015831
Const,0.00793650793650794
Const,0.269270298047276
Const,0.130530973451327
Const,0.049934296977661
Const,0
Const,0.0851156700131876
Const,0.135315813738738
Const,0.0235998591053188
Const,0
Vegbar,0.0124371284865112
Const,0.0121099208197485
Chan,0
Const,0.00609291698401382
Const,0.0262060750446694
Chan,0
Const,0.8
Terr,0
Chan,0
Const,0.0410958904109589
Chan,0
Chan,0
Const,0.128205128205128
Const,0.342507645259939
Chan,0
Const,0.467105263157895
Const,0.136708860759494
Chan,0
Const,0
Const,0.25
Const,0.293103448275862
Const,0.162790697674419
Const,0.141176470588235
Const,0.5
Chan,0
Const,0.697424892703863
Chan,0.542857142857143
Const,0.198857598299813
Const,0.141114982578397
Sbar,0.106796116504854
Sbar,1
Vegbar,0.61340206185567
Sbar,0.737967914438503
Sbar,0.775757575757576
Sbar,0.630901287553648
Sbar,0.939393939393939
Sbar,0.739130434782609
Sbar,0.952380952380952
Sbar,0.846153846153846
Sbar,1
Sbar,1
Sbar,0.662388943731491
Vegbar,0.822184105202973
Recirc,0
Sbar,0.663672654690619
Sbar,0.75658419792498
Sbar,0.614084507042253
Vegbar,0.382428940568475
Sbar,0.46875
Sbar,0.93421052631579
Vegbar,0.872727272727273
Sbar,0.873015873015873
Sbar,1
Sbar,0.710769230769231
Recirc,0
Sbar,0.366906474820144
Sbar,0.564285714285714
Recirc,1
Sbar,0.789473684210526
Sbar,0.848861283643892
Sbar,0.852459016393443
Vegbar,0.429824561403509
Recirc,0.0555555555555556
Recirc,0
Sbar,0.972222222222222
Sbar,0.4
Recirc,0.0888888888888889
Sbar,0.165714285714286
Sbar,1
Recirc,1
Sbar,0.745614035087719
Sbar,0.576086956521739
Recirc,1
Sbar,0.48090692124105
Sbar,0.305803571428571
Vegbar,0.057649667405765
Sbar,0.949152542372881
Sbar,0.846938775510204
Sbar,0.706382978723404
Sbar,0.962882096069869
Vegbar,0.705882352941176
Sbar,0.475609756097561
Vegbar,0.185185185185185
Vegbar,0.210106382978723
Sbar,0.585365853658537
Vegbar,0.775714285714286
Recirc,1
Recirc,0
Vegbar,0.150015183722821
Sbar,0.732758620689655
Vegbar,0.834645669291338
Vegbar,0
Vegbar,0.139475367882278
Sbar,0.209677419354839
Sbar,0.521739130434783
Sbar,0.856209150326797
Vegbar,0
Const,0.3
Sbar,0.302780638516993
Sbar,0.181707317073171
Recirc,0
Recirc,0
Sbar,0.492753623188406
Recirc,0
Chan,0
Sbar,0.0138584974471189
Sbar,0.13677811550152
Vegbar,0
Vegbar,0.0962962962962963
Sbar,0.129032258064516
Sbar,0
Sbar,0.446428571428571
Sbar,0.692307692307692
Vegbar,0.555276381909548
Vegbar,0.857142857142857
Vegbar,0.66969696969697
Vegbar,0.437919463087248
Sbar,1
Sbar,0
Sbar,0.767169179229481
Recirc,0
Recirc,0
Sbar,0.840182648401827
Sbar,0.571428571428572
Sbar,0.788461538461538
Sbar,0.240540540540541
Recirc,0
Sbar,0.641571194762684
Sbar,1
Recirc,0.0476190476190476
Recirc,0
Sbar,0.958333333333333
Sbar,0.333333333333333
Sbar,0.662983425414365
Sbar,0.825531914893617
Sbar,0.503623188405797
Sbar,0.93
Sbar,0.403658536585366
Sbar,0.11284046692607
Sbar,0.548494983277592
Vegbar,0.752238805970149
Sbar,0.708994708994709
Vegbar,0.597535934291581
Vegbar,0.0341463414634146
Vegbar,0.142857142857143
Vegbar,0.801470588235294
Sbar,1
Sbar,0.3
Sbar,0.44415917843389
Const,0
Sbar,0.254752851711027
Vegbar,0.107876871570775
Chan,0
Const,0.161866125760649
Recirc,0
Sbar,0
Const,0
Terr,0.0574973159966942
Sbar,0
Vegbar,0.155466707673501
Const,0.238944630249866
Const,0.0669127826488233
Recirc,0
Sbar,0.77734375
Vegbar,0.468830795749695
Const,0.160648148148148
Sbar,0.595505617977528
Vegbar,0.103944773175747
Sbar,0.591422121896163
Vegbar,0.154463712267181
Const,0.282407407407407
Sbar,0.142857142857143
Vegbar,0.0746720484359233
Const,0.356060606060606
Sbar,0.275
Const,0.166666666666667
Const,0
Sbar,0.806451612903226
Const,0.461290322580645
Sbar,0.788432267884323
Const,0.4375
Sbar,0.364238410596027
Const,0.485645933014354
Const,0
Recirc,0
Sbar,0.933774834437086
Sbar,0.785714285714286
Const,0.0665258711721225
Const,0.575
Sbar,0.859649122807017
Const,0.564205457463884
Sbar,0.561643835616438
Sbar,0.804073714839961
Chan,0.0147492625368732
Const,0.0383060635226548
Recirc,0
Sbar,0.00615384615384615
Sbar,0.833333333333333
Sbar,0.962962962962963
Const,0.5
Sbar,0
Const,0.266990291262136
Const,0.256410256410256
Sbar,0.988235294117647
Const,0
Const,0.304347826086956
Sbar,0.631578947368421
Const,0.187134502923977
Const,0.482479784366577
Const,0.188095238095238
Sbar,0.625850340136054
Sbar,0.156862745098039
Const,0.25
Sbar,0.979591836734694
Const,0.571428571428571
Const,0.736979166666667
Sbar,0.278481012658228
Const,0.381953569864214
Const,0.378001116694584
Const,0.166883963494133
Sbar,0.931506849315069
Const,0.167844522968198
Const,0.220588235294118
Recirc,1
Vegbar,0.575342465753425
Const,0.755443886097152
Sbar,0.798780487804878
Const,0.468085106382979
Recirc,0
Sbar,0.602409638554217
Const,0.591006423982869
Sbar,0.821963394342762
Vegbar,0.777181208053691
Const,0.240641711229947
Recirc,1
Sbar,0.629041740152851
Vegbar,0.669753086419753
Const,0.098326359832636
Sbar,0.373417721518987
Const,0.0172839506172839
Sbar,0.14043583535109
Const,0.0453834115805947
Sbar,0.108897742363878
Vegbar,0.935483870967742
Const,0
Sbar,0.684098939929329
Sbar,0.897058823529412
Vegbar,0.616161616161616
Vegbar,0.603174603174603
Const,0.170360110803324
Chan,0
Const,0.100313479623824
Recirc,0.25
Sbar,0.619047619047619
Vegbar,0.434173669467787
Sbar,0.466666666666667
Const,0.131562693020383
Recirc,0.111111111111111
Const,0.350393700787402
Sbar,0.8
Const,0
Const,0.401253918495298
Sbar,0.676470588235294
Vegbar,0.925373134328358
Const,0.875
Const,0.286372613561554
Sbar,0.944444444444444
Vegbar,0.234862385321101
